,0~4,5~9,10~14,15~19,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84
Other Cardiovascular Diseases,26.8082031682,20.5083522941,18.399952870999996,16.8162656448,17.300341726000003,14.5657794877,16.9440002883,21.679071016600002,41.0740531211,63.546237573,68.198469753,107.874377514,176.50588614499998,327.40067398300005,311.487640441,355.182648621,337.305099947
Acute Nasopharyngitis,143.925625346,59.63,18.29,13.21,15.590170863,19.3478897439,27.43,32.03,25.43,19.01,17.94,19.65,22.96,34.43,31.423039058100002,29.7725936113,25.065246340199998
Allergic Rhinitis,58.41,203.73,204.1,106.71,69.45,90.16,106.12,124.79,154.68,168.94,173.43,170.92,191.36,244.86,186.83,176.97,111.77
Asthma,73.98371108900001,131.07505688199998,87.1849764356,31.51,31.57,36.82,58.43,67.37,111.24,103.68770626210001,89.88730871909999,78.7286981262,106.21,155.07456587829998,115.9460781162,115.0177808339,95.6604926804
Other Respiratory Diseases,31.361914257,32.323409176,12.194929307,9.335062579,13.120683452,22.4836692316,23.676001153,34.295118361,44.457566401,56.36394383499999,60.228469753,81.50307563999999,113.881638621,186.260898643,186.287538778,205.85085891,173.34593891999998
Stomach and Duodenal Diseases,1.1,0.99,2.89,7.11,17.68,26.67,28.62,40.86,64.63,93.97,107.8273087191,129.9573962524,177.2728762383,278.7136976348,269.6991171744,263.5429680565,224.1031158504
Liver and Gallbladder Diseases,2.2,0.99,0.96,2.03,2.53,6.35,11.92,24.533023672200002,40.014053121100005,59.108531311,68.021161034,90.728283136,120.22725743000001,163.430449322,159.890781162,145.297433894,121.47131827300001
Dental Diseases,50.69,176.9,141.52,94.52,154.490170863,222.51788974389999,255.4240002883,331.5430236722,426.0935132803,442.41,433.58,463.65,579.84,860.84,686.61,626.81,409.9426231701
Other Digestive Diseases,16.3255079206,9.835056882,10.264929307000001,15.435062579,22.841025178,26.513117950999998,30.652002307,45.633260394,66.215672644,99.818712719,86.74424822600001,93.49266065,135.58882921699998,202.894596278,183.491952906,173.07080390000002,167.263621906
Skin Disease,250.52820316819998,251.0683522941,182.92000000000002,159.0962656448,215.110170863,213.62788974389997,218.46400028829999,234.3630236722,259.9670265606,222.56082504859998,211.8419261574,181.3447925047,188.3286287149,266.320224661,228.013429639,210.51409139199998,163.000332912
Arthritis,0.0,0.99,1.93,1.02,5.05,8.89,22.650000000000002,47.49,76.28,123.53,147.6973087191,172.0486981262,235.6328762383,322.83826351299996,239.7282343487,214.3281552791,164.42098536069997
Arthropathy,1.1,2.98,14.44,11.18,8.84,11.43,23.85,30.92,58.473513280300004,86.9954125243,142.4265435957,173.238283136,219.73725743,316.47044932200004,345.312937395,366.33040194999995,380.08869510299996
Other musculoskeletal Pain,0.0,1.99,23.11,65.05000000000001,101.02000000000001,172.99788974389998,238.73400028830002,360.72907101659996,467.167566401,550.513943835,581.695778472,658.1130756399999,733.507324264,1092.600673983,1157.964210802,1301.951525286,1143.037549974
Bone Density Abnormalities,0.0,0.0,0.0,0.0,0.0,0.0,1.19,1.1,4.24,6.34,17.94,40.27,119.6,262.2045658783,367.2560781162,438.30778083390004,434.09049268039996
Kidney Diseases,4.7682031682,6.5883522941,8.66,8.6862656448,10.1,9.187889743900001,16.9440002883,19.2360473444,39.607026560600005,53.193943835,65.385778472,73.64307563999999,88.051638621,162.091766887,165.929796673,164.631178345,142.632476777
Benign Prostatic Hyperplasia,0.0,0.0,0.0,0.0,0.0,2.54,1.19,0.0,3.18,4.22,10.96,38.31,85.2914381191,218.3291317565,258.3191171744,316.7077808339,286.9052463402
Fractures,4.41,19.146704588000002,38.619952870999995,28.191328224,12.300854314999999,12.621558975,14.64400173,18.201165705,27.465132803,29.30788767,38.894248226,46.788755028,50.53033417,73.349386817,104.884890301,134.01863974,149.84102549000002
Other Injuries,14.294609505,23.116704588,98.40990574199999,91.293859513,30.861196041,28.755228207000002,35.168002018,44.06721305,50.112159363,59.720181408,52.322322068000005,40.837868145,45.12307674,57.343503374,60.994601383,52.099680565,52.184767035
Anemia and Blood Disorders,2.3791015841000003,4.236704588,9.194976435600001,12.7562656448,11.800170863,15.537889743900001,24.1040002883,37.783023672199995,70.1235132803,96.2877062621,54.9973087191,29.767396252399998,30.8828762383,58.9728293913,64.1551952906,77.8981552791,86.91360853100001
Cancer,1.4582031682,3.875056882,3.534929307,1.5762656448,4.230170863,7.9178897439,10.0480005766,17.968142033,36.096212484000006,63.043481602,87.25081851899999,100.332774454,134.92668815,213.54578038,177.42085068,155.67428393,114.91905476999999
Pregnancy and Childbirth,0.0,0.0,0.0,3.14253129,18.402733808,65.16714873000001,87.54201816,48.90304158,11.125672644000002,0.2077062621,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Conditions,117.03937742000001,111.518579823,135.429717227,118.011453382,118.542392082,174.628346158,203.782006631,243.26559180499999,302.948911689,337.771187864,330.18540926000003,247.93224565900002,192.534648528,234.62568918299996,167.071460661,162.36008251500002,161.10707066999998
Care Recipient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.2,136.2,136.2,136.2,136.2,388.0,512.0,811.0,1265.0
Cumulative births,5053.62,5373.12,5543.39,5933.69,6029.22,6352.3,7328.38,8212.67,9894.71,9632.51,8179.57,8041.68,9038.75,12532.25,10335.47,10403.78,10640.45
Alive,4906.0,5255.0,5473.0,5940.0,5908.0,6147.0,7048.0,7939.0,9560.0,9135.0,7787.0,7463.0,8093.0,10216.0,7364.0,6495.0,5163.0
