,0~4,5~9,10~14,15~19,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84
Heart Disease,0.0,0.0,1.95,1.04,1.29,1.36,2.35,6.7320052081,15.657670550999999,42.154855453,69.694143548,103.161007438,156.170979955,254.858488354,371.175482955,424.657840834,360.595840193
Other Cardiovascular Diseases,24.295686099100003,21.7317238769,17.869034250000002,19.2539865624,14.672243608499999,18.2733859971,16.657337093200002,30.5820052081,38.148352755000005,53.413497043,80.57060766100001,98.606851303,143.060849295,253.34661777600002,346.789744318,368.018869209,330.21818378
Acute Nasopharyngitis,134.31137219820002,40.77,20.51,11.39,15.9622436085,23.1,28.22,26.02,31.92,20.1,29.57,25.24,26.62,30.64,28.66,36.08,29.310874151
Allergic Rhinitis,61.85,202.85,204.1,111.82,79.96,104.61,128.19,138.76,164.73,197.8,198.85,205.83,201.96,254.75,246.48,214.6,129.81
Asthma,75.7213721982,108.103447754,75.8245171252,36.24,38.69,40.76,52.92,83.47,99.87,124.81,120.33,108.74,104.65,137.5590647111,146.2835653409,131.16394602079998,102.9017483021
Other Respiratory Diseases,27.9813721982,19.603447753999998,12.354517125200001,9.70594625,13.056730824999999,18.886771994,25.2920112797,32.1360156242,39.9906822041,56.35728318,68.330607661,77.246851303,104.77097995499999,170.781941332,218.903920455,224.80514188,189.48626209000003
Stomach and Duodenal Diseases,3.26,0.99,1.95,4.14,7.74,17.66,28.22,29.27,55.6,79.5562138633,92.96176794360001,116.51,142.5501306607,222.59812942210002,264.0206960227,280.6157840834,216.8834966041
Liver and Gallbladder Diseases,0.0,0.0,0.0,1.04,6.45,8.15,9.41,18.6620052081,35.6630116531,56.964855453000006,72.582375605,85.986851303,97.560587973,134.845970666,159.1784375,134.84075847900002,101.143602078
Dental Diseases,35.81,169.8917238769,124.02,93.79398656240001,120.9044872169,205.76338599710002,225.9973370932,300.52200520810004,362.62767055100005,472.81,485.39,512.64,543.46,722.22,770.01,711.21,504.16
Other Digestive Diseases,15.8285291487,10.791723876899999,11.673551375999999,12.191959687,24.813461651,34.450157991,42.344022558999995,54.744036455999996,68.879034959,71.093207949,96.558287097,117.77224163999999,127.84150259799999,162.260070754,187.08470170500001,212.040977167,179.184197364
Skin Disease,227.2056860991,233.67000000000002,188.47,169.3839865624,217.15224360850002,223.1166929986,222.46733709319997,241.9820052081,240.325341102,288.3786415898,242.1853038307,211.3641561348,195.2703266517,233.931582399,243.289914773,268.927082354,204.139231323
Arthritis,1.09,0.0,0.98,1.04,3.87,12.23,23.52,44.45,88.55,141.74,166.3817679436,198.2285390337,234.2200653303,298.75812942209996,314.7642613636,253.323676125,176.01611905730002
Arthropathy,1.09,3.98,11.72,8.28,7.74,13.59,19.99,31.44,56.847670551,93.5324277265,161.9788397178,185.986851303,209.420979955,295.53222951,342.67052556799996,382.38205675,341.91535038
Other musculoskeletal Pain,0.0,2.98,18.55,44.52,72.7022436085,155.1866929986,215.40733709319997,320.5060156242,393.358352755,547.3834970429999,593.995911492,638.932468404,643.9011106160001,838.374747198,1124.718352273,1259.101516959,1063.3984626459999
Bone Density Abnormalities,0.0,0.0,0.0,0.0,1.29,1.36,1.18,2.17,4.12,5.29,19.37,48.7185390337,110.2900653303,239.9890647111,385.1235653409,500.7818380625,431.2234966041
Kidney Diseases,10.4085291487,7.95,7.81,9.32,11.61,12.23,17.64,26.252005208099998,34.415341102,47.89728318,53.040607660999996,76.782468404,91.651306607,147.499135465,193.609659091,184.676491355,153.89342869
Benign Prostatic Hyperplasia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,2.06,7.4,16.32,33.01,81.7,193.5890647111,291.6071306818,366.89183806249997,321.2717483021
Fractures,2.17,17.751723876899998,33.499034249999994,27.919932812000003,13.538974434,12.096771994,16.2766854662,18.2780208323,21.301364407999998,35.730780222,40.478287097,38.657858741000005,45.87182925,67.74604142,100.90879261399999,131.41563046000002,143.69996964
Other Injuries,6.2813721982,20.593447754,85.883551376,78.42189249900001,27.393461651,28.703464993,32.7366854662,47.154036456,57.341364408000004,68.068352496,59.676519153,57.868085506,47.451241276999994,52.353811910000005,57.309744318,57.229409000000004,56.246330005000004
Anemia and Blood Disorders,3.4728430496,2.8417238769,6.494517125200001,9.32,7.74,9.51,18.82,42.28,70.227670551,105.9962138633,58.2917679436,26.5470780674,36.0601306607,55.626258844199995,68.3978267045,88.3515681667,85.707867359
Cancer,1.5156860991,4.6834477539999995,1.6145171252,3.2979731249999995,4.3522436085,5.7366929986,10.7773370932,13.706015624199999,37.027387714,75.69156044500001,98.29718185499999,100.83549071899999,120.82535709,188.29560657000002,207.09306818,200.08736610999998,126.20724170999999
Pregnancy and Childbirth,0.0,0.0,0.0,2.267973125,13.044679692999999,52.24086895,69.452180476,51.328203115,17.022046612,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Conditions,117.64146191,119.45241039999999,151.453239753,124.79385218600001,153.28916691,190.73039497899998,214.25940477199998,263.578124994,307.855740469,399.20641589799993,392.29950241999995,290.674710045,208.21222123200002,219.553235553,217.169573864,194.332005542,152.44391850000002
Care Recipient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,140.0,140.0,140.0,140.0,345.0,502.0,839.0,1187.0
Cumulative births,4712.748,5192.77,5406.214,5749.395,5966.1,6080.429,6721.989,7620.203,8840.38,10095.866,8881.972,8190.311,8242.24,10117.978,11641.727,11143.9505,10303.301
Alive,4645.0,5081.0,5318.0,5716.0,5927.0,5930.0,6535.0,7377.0,8573.0,9679.0,8451.0,7622.0,7451.0,8637.0,8610.0,7183.0,5294.0
