,0~4,5~9,10~14,15~19,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84
Kidney Diseases,11.891984535,6.5840134065,7.61,7.13,13.75,13.12,17.0974828857,22.1955990618,43.6945529784,49.653146064,57.921532065,73.180872977,119.91066158699999,140.33816293200002,140.816134224,162.780404351,135.738785471
Benign Prostatic Hyperplasia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,4.12,11.91,32.85,105.77785485160001,209.13785450929998,294.1995680534,330.8819240167,262.3589154071
Fractures,4.17,18.058026812999998,47.102899085000004,28.96593369,12.725735504000001,12.44497076,17.2823802,20.780391557,31.575935424,31.740674149,32.775947147000004,43.295256347999995,52.712774659,61.550653714999996,91.62963328299999,125.10311264,127.52672501
Other Injuries,15.4439690701,29.53204022,84.705798169,92.247911586,34.160980672,37.666947367999995,32.129863086,51.355990618,60.253658935,55.420674149,56.273064131,36.276660505,47.3535004,53.454944696,49.740043486000005,52.430657629,47.538546807
Anemia and Blood Disorders,4.3859922675,3.3880268129999997,5.4814495423,10.18,11.8626225839,13.462994151999998,19.3474828857,38.945599061799996,62.7461382446,86.7171910106,67.84288301640001,33.1085958426,44.7235645549,59.0046362734,76.01913610689999,90.6778227057,90.509034739
Cancer,0.8639690700999999,1.6940134064999999,2.4128990850000003,2.6259889483,2.6926225839,7.4929941520000005,12.1199315429,24.35158968,42.422764892000004,57.100112339999995,77.64698485199999,94.727344098,143.79825982,165.10974191999998,148.3184679,125.47288379,97.69226730999999
Pregnancy and Childbirth,0.0,0.0,0.0,3.2119778969999997,24.781961343,70.78874854,92.4814218,58.901957783,17.77979718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Conditions,127.25117262,106.388160878,131.21884404899998,106.811867379,110.67409359100002,157.260900585,200.3771406,256.404377484,277.505732604,304.889775266,295.540362229,226.43244803300001,241.07204891700002,190.515289988,173.15701986000002,165.460024435,150.95793954
Care Recipient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.6,149.6,149.6,149.6,149.6,376.0,593.0,882.0,1228.0
Cumulative births,5259.197,5446.899,5816.343,6026.759,6088.903,6964.967,7773.003,9227.789,9955.692,8708.918,8099.638,8385.732,11045.036,11208.6945,10781.918,10445.511,10568.906
Alive,5188.0,5317.0,5746.0,5973.0,6004.0,6665.0,7434.0,8908.0,9517.0,8279.0,7637.0,7658.0,9608.0,8654.0,7562.0,6278.0,4748.0
